,Číslo obce,Název obce,Registrovaní volici
0,506761,Alojzov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506761&xvyber=7103
1,589268,Bedihošť,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589268&xvyber=7103
2,589276,Bílovice-Lutotín,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589276&xvyber=7103
3,589284,Biskupice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589284&xvyber=7103
4,589292,Bohuslavice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589292&xvyber=7103
5,589306,Bousín,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589306&xvyber=7103
6,589314,Brodek u Konice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589314&xvyber=7103
7,589322,Brodek u Prostějova,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589322&xvyber=7103
8,589331,Březsko,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589331&xvyber=7103
9,589349,Budětsko,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589349&xvyber=7103
10,589357,Buková,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589357&xvyber=7103
11,589365,Čehovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589365&xvyber=7103
12,589381,Čechy pod Kosířem,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589381&xvyber=7103
13,589390,Čelčice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589390&xvyber=7103
14,589403,Čelechovice na Hané,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589403&xvyber=7103
15,589420,Dětkovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589420&xvyber=7103
16,589438,Dobrochov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589438&xvyber=7103
17,589446,Dobromilice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589446&xvyber=7103
18,589454,Doloplazy,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589454&xvyber=7103
19,589462,Drahany,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589462&xvyber=7103
